1/8 the amount of coffee consumed by the employees at Yelp in the time it takes to blink	one eighth the coffee consumption by the number of employees at Yelp in the time taken to blink	1/8th the coffee consumed by the entire staff of Yelp in the time it takes to blink	an eighth the volume of coffee consumed by the entire set of employees at Yelp in the time it takes to blink	1/8th the coffee consumed by all Yelp employees over a period equal to the blink of an eye	1/8th the coffee consumed by Yelp employees in the time it takes to blink	1/8 the amount of coffee drank by the entire Yelp workforce in the time it takes to blink
1/50th of the amount of water that the mining industry employees during lunch	one fiftieth the water usage of US mining industry employees during a lunch	1/50th the water used by mining industry employees during lunch time	one fiftieth the water usage in the US during time taken for lunch by the number of employees in the mining industry	1/50th the water usage in the US of a population equivalent to the number of employees in the mining industry during the span of time taken for lunch	1/50th of the amount of water used in the United States by the entire mining industry workforce in the time it takes to have lunch	1/50th the water usage of all the employees in the mining industry during the time taken for a lunch break
1/8 the weight of a week's time	1/8 of the birth rate in the US per week	1/8 the amount of the US birth rate in a week	one eighth the birth rate in the US in a week	1/8th the number of babies born in the US in a week	an eight of the birth rate in the US during a week	one-eighth the one week birth rate in the US
1/50th of the weight of garbage produced in the United States by the population of California in the time it takes to have a day	1/50th the weight of trash generated in the US made by the amount of population of California during a soccer game	1/50th of the amount of trash produced by all Californians in the time it takes to play a soccer game	1/50th the amount of trash generated in the US by the population of California during a soccer game	1/50th of the weight of garbage produced in the United States by the population of California in the time it takes to play a game of soccer	one fiftieth the trash generated in the US in the time taken for a soccer game by the population of California	one fiftieth the amount of trash generated in the US by the population of California in the time taken for a soccer game
5 times the weight of garbage produced in the United States by the number of workers who receive Medicare benefits in the time it takes to have lunch	five times the amount of trash generated by California employees on Medicare during lunch	5 times the amount of trash produced in the time it takes to have lunch by all the California workers receiving Medicare	five times the amount of trash generated by all the employees on Medicare in California during lunch	5 times the amount of trash generated in the US by the total number of employees on Medicare in California during a basketball game	5 times the trash generated in the US by employees on Medicare in California during lunch breaks	5 times the amount of trash generated by employees on mediare during the same amount of time it takes to eat lunch	5 times the trash generated by 5 million people every 30 minutes
one fourth the trash generated in the US by the number of employees on Medicare in the time taken for a basketball game	twenty fiver percent of the amount of trash generated in the US by employees on Medicare in California during the time taken for a basketball game	1/4 the amount of trash produced by all employees on Medicare in California during a basketball game	1/4 the trash generated by California's Medicare employees during one basketball game	1/4th of the trash generate by employees on Medicare in California during a basketball game	a quarter of the trash generated in the US by the number of employees on Medicare in California during the time taken for a basketball game	1/4th the amount of trash generated by all of the employees on Medicare in California during a football gamef	1/4th the amount of trash generated in the US during the time of a basketball game for employees on medicare in California
8 times the cost of employing the staff of Yelp for the length of a lunch break	8 times the cost of an employee during lunch break at Yelp	eight times the cost of employing the number of employees at Yelp in the time taken for lunch	eight times the cost of the number of employees at yelp for the time taken for lunch	8 times the amount it costs to employ everyone at Yelp for the duration of a lunch break	8 times the cost of an employee for the time taken for lunch times the number of employees at Yelp	is the cost of Yelp employees for eight lunches
one half the cost of the number of employees at McKinsey in the time taken for a blink	half the cost of the number of employees at McKinsey during the time taken for a soccer game	half the cost of employing all the people that work at McKinsey for the length of time it takes to play a soccer game	half the cost of all employees at McKinsey in the time it takes to play a soccer game	half the amount it costs to employ people at McKinsey for a soccer game	half a soccer game's worth of employed time for the employees at McKinsey	One half the amount of dollars it takes to pay all of the employees at McKinsey during a soccer game	half the cost to employ everyone at McKinsey for the length of a soccer game	half the cost of wages for all McKinsey workers for the length of a soccer game
one third of the amount of people killed during the weight of an average tree	one third of the total number of people killed in 9/11	1/3 the people killed on 9/11	1/3rd the number of people killed during the September 11th attack	1/3 of the people killed during the September 11th attack	1/3rd the amount of people killed during the September 11th attack	1/3rd the people killed during September 11th	1/3 of the amount of people killed during the September 11th attack
one tenth the global global rate of a person	one tenth the global birth rate in the average lifetime of a person	1/10th the number of people born worldwide throughout one person's lifetime	1/10 the global birth rate over a person's lifetime	1/0th the global birth rate for the average lifetime for a person	one tenth the global birth rate in teh average lifetime for a person	1/10th of the number of people born throughout the world over the lifetime of an average person
one eighth the trash generated in the US by the number of employees at Yelp in the time taken for a football game	1/8th the total amount of trash generated in the US by everyone working at Yelp in the amount of time it takes to play a football game	1/8th the amount of trash generated by employees at Yelp in the time it takes to watch a football game	one eighth of the trash located in the US by the number of employees at Yelp in the time taken for a football game	1/8th the weight of trash generated in the US by the amount of yelp employees during a football game	1/8th of the weight of garbage produced in the United States by the entire staff of Yelp during a football game	1/8 the trash generated by the entire workforce at Yelp in the span of a typical football game
one thirtieth the coffee consumption of the number of employees in the services industry in the time taken for a blink	1/30 the amount of coffee consumption by the number of employees in the services industry in the time taken for a soccer game	one thirtieth of the coffee consumption by the number of employees in the services industry in the time taken for a soccer game	1/30 the coffee consumed by everyone in the services industry during one soccer game	1/30th of the coffee consumption by the employees in the services industry for the time taken for a soccer game	1/30th of the amount of coffee consumed by all workers in the service sector in the time it takes to play a game of soccer	1/30 the coffee consumption by employees in the services industry during the time taken for a soccer game	1/30th of the coffee consumed by all service workers in the time it takes for a soccer game to be played
4 times the amount of birth who die in the US in the time it takes to have lunch	4 times the average US birth rate in the span of a typical lunch break	quadruple the number of births in the US that occur over the span of a lunchbreak	four times the birth rate in the US in the time taken for lunch	4 times the birth rate in the US the time taken for lunch	4 times the number of people born in the United States in the time it takes to have lunch	4 times the number of people born in the US over a lunch period
1/60th of the cost of employing the staff of Yelp for one day	1/60 of what it costs to employ the workers at Yelp for one day	1/60 the daily cost of all employees at Yelp	1/60th of the cost of a day's wages for all Yelp workers	1/60th the amount of money made by all Yelp employees in a day	a 60th of the cost of all of the employees at Yelp	1/60th the cost of an employee for 1 day for every Yelp employee
twenty times the number of people who die in the world over a lifetime	20 times the global deaths during the lifetime of a dog	20 times the amount of people who die globally over the lifetime of a dog	20 times the global death rate in the average lifetime for a dog	20 times the number of deaths in the world during a dog's lifetime	20 times the number of people who die during the lifespan of an average dog	20 times the global death rate during the average lifetime from a dog
1/3 the amount of water that the average number of employees in a grocery store in the time it takes to graduate college	1/3 times the US water used during college all the staff of a grocery store	a third of the water used by an average grocery store staff in the time it takes to graduate college	1/3rd the amount of water used by employees in a single US grocery store over the time it takes to graduate college	one third of the amount of water used in the United States by the staff of an average grocery store over the time it takes to graduate college	1/3 the water used by a grocery store's employees in the time it takes someone to graduate from college	one-third the water usage in the US over the time taken to graduate college by the average number of employees in a grocery store
10 times the amount of coffee consumed by the employees in the manufacturing industry in a work day	10 times the amount of coffee consumed by the number of employees in the manufacturing industry over the course of one work day	10 times the total amount of coffee consumed by everyone working in the manufacturing industry over the course of one work day	10 times the amount of coffee consumed by all employees in the manufacturing industry during a work day	10 times the amount of coffee consumed by every worker in manufacturing put together in a single work day	ten times the amount of coffee consumed by people employed in the manufacturing industry during a work day	10 times the coffee consumption of employees in the manufacturing industry during a workday
90 times the number of dogs in the United States generates in one day	90 times the number of dogs in shelters a day	90 times the amount of dogs in shelters in one day	90 times the number of dogs admitted to shelters daily	90 times the number of dogs put into shelters in one day	90 times the number of dogs in a shelter per day	ninety times the number of dogs in shelters in a day
one half the cost of an employee for an hour of the number of employees at McKinsey	one half of the cost of employing the entire staff of Yelp for one hour	1/2 of the cost to employ the number of employees at Yelp for an hour	the cost to employ all the employees at Yelp for half an hour	half of what it costs to employ everyone at Yelp for an hour	half the cost to pay Yelp employees for an hour	hafl the hourly cost of the number of employees at Yelp
40 times the water usage of the employees of a grocery store in the time it takes to blink	40 times the water used by all employees in a grocery store in the time it takes to blink	40 times the volume of water used by an average grocery store staff in the blink of an eye	40 times the water used by all the employees of a grocery store for the time it takes to blink	40 times the amount of water used by the number of employees in a grocery store in the time it takes to blink	40 times the water used in the US by the average number of employees in a grocery store for the time it takes to blink	40 times the water used by a grocery store's employees in the time it takes to blink
the weight of trash generated in the US by the number of employees in the economy in one hour	the amoount of trash generated in the US during an hour by the number of employees in the eonomy	1/1 times the amount of trash generated by employees in the economy an hour	the trash generated hourly by the number of employees in the economy	the amount of trash genrated by all of the employees in the ecomony for an hour	the amount of trash generated per hour by the number of employees in the economy	the weight of garbage produced in the United States by the total number of workers in the economy in one hour
1/4th the amount of water that the employees at Yelp in the US	a quarter of the amount of water used by all Yelp workers per hour	1/4th the water usage in the US by every employees at Yelp each hour	one fourth the amount of water used in the United States by the entire staff of Yelp in one hour	a quarter the water used in one hour by all of the employees at Yelp combined	1/4 the wataer used by Yelp employees in an hour	1/4th the amount of water used in the US per hour by employees at yelp
1/3 the amount of coffee consumed by the people killed during the lifespan of an average person	1/3 the coffee consumed by people killed during the September 11th attack during the average lifetime for a dog	one third the coffee consumption over the average lifetime for a dog by the number of people killed during the September 11th attack	a third of the coffee consumption of people killed during the September 11th attack in a dog's average lifetime	1/3 the coffee consumed by people killed during the September 11th attack during their dog's lives	1/3 the coffee consumption by the number of people killed in 9/11 over the average lifetime of a dog	1/3rd the amount of coffee consumed by the number of people killed during the September 11th attack during the average dog's lifetime
one fortieth the cost of the number of employees on Medicare in an hour	one fortieth the cost of the number of employees on Medicare in California for one hour	1/40th the cost of employing all of the people that are on Medicare in California for one hour	1/40th the cost of Californian employees on Medicare during an hour	1/40th of the cost of employing the number of workers on Medicare in California for one hour	1/40th the cost of an employee, an hour, by the number of employees on Medicare in California	1/40th the amount it costs to employ people on Medicare in California per hour
3 times the cost of employing an average household for one hour	3 times the cost of employing a household for the duration of a soccer game	triple the cost of employing an average household for the time it takes to play a game of soccer	3 times the cost to employ the average household  for the length of a soccer game	the cost of a household of employees during three soccer games	3 times the cost of an employee in a average household during a soccer game	3 times of the cost of employing the average household for the same amount of time as a soccer game
three times the coffee consumption of the number of employees at Yelp in the lifetime of a tree	3 times the coffee consumed over a tree's average lifetime by all Yelp employees	3 times  the coffee drunk by all yelp employees during the lifespan of a tree	3 times the amount of coffee consumed over the average lifetime for a tree by employees at Yelp	3 times the amount of coffee the employees at Yelp would consume over a time period equal to the average lifetime of a tree	three times the amount of coffee consumption in the average lifetime for a tree by the number of employees at Yelp	3 times as much as the combined amount of coffee that would be consumed by all of the employees at Yelp during the lifetime of a tree	the amount of coffee consumed by all the employees at Yelp in the duration of the total combined lifetimes of three trees
one fifth of the number of guns owned by the population of a single person	1/5 the level of gun ownership by the population of the United States	twenty percent of the amount of guns owned by the population of the United States	1/5th the number of guns owned by the population of the United States	a fifth of the guns owned by the US populaton	1/5 the amount of guns owned by the population of the US	1/4 the amount of guns per person in the United States	one fifth the number of guns owned by the population of the United States	1/5 of the number of guns owned in the US
7 times the amount of coffee consumed by the staff of Yelp at Yelp in the time it takes to have lunch	7 times the amount of coffee consumed by the entire staff of Yelp in the time it takes to have lunch	7 times the amount of coffee consumed by the Yelp staff over one lunchtime	7 times the total amount of coffee consumed by everyone working at Yelp over the time it takes to have lunch	seven times amount of coffee consumed by Yelp employees at lunch	7 times the amount of coffee consumed by all Yelp employees during lunch	7 times the coffee consumed by Yelp employees during lunch
1/60th the amount of coffee consumed by the amount of people killed during World War II in the average lifetime of a person	1/60 of what all the people killed during World War II could consume in coffee in an average dog's lifetime	1/60th the coffee consumed in the lifetime of a dog, per the number of people killed during World War II	one sixtieth of the coffee consumption by the people killed during world war II in the average lifetime for a dog	1/60 the coffee consumed by everyone killed in WWII for the lifetime of a day	1/60th the amount of coffee consumed by all of the people killed in WWII over the lifetime of a dog	1/60 the coffee consumption by the number of people killed in WW2 over the lifetime of a dog
one eightieth the water usage of the population of California a week	1/80 of Calfornia's water useage each week in the US	1/80th the weekly water usage of California's population	one eightieth the water usage of California per week	1/80th the water used by the population of California during a week	1/80th of the amount of water used in the United States by the population of California in one week	1/80th the volume of water used in one week in California
1/60th of the weight of garbage produced in the United States by the number of people killed during the course of an average day	1/60 of the weight of trash produced daily in the US by 3,000 people	1/60 the amount of trash generated per day by the number of people equivalent to the number killed during the September 11th attack	1/60th the amount of trash produced in a day by a population the size of those killed in the 9-11 attack	1/60 of the weight of trash generated in the US by the number of people killed during the September 11th attack in one day	1/60 the trash generated in a day by the people killed on 9/11	1/60 the amount of trash generated in the US per day by all the people killed in the september 11th attack	1/60 times the US trash produced per day by all the Sept. 11th victims combined	1/60th the weight of trash generated in the US by the amount of people killed during the September 11th attack in a day
1/20th of the water industry every hour by employees in the oil industry	1/20th of the water used hourly by all oil industry workers	1/20th the amount of water used in the US per hour from employees in the oil industry	one twentieth the water usage of US oil industry employees per hour	1/20th of the water used in an hour by the employees in the oil industry	one twentieth the hourly water usage in the Us by the number of employees in the oil industry	1/20 the water used by oil industry employees in one hour	1/20 the amount of water used in the US by all the employees in the oil industry put together in an hour
80 times the water usage of Google employees in a minute	80 times the amount of water used every minute by Google employees	80 times the amount of water usage in the US per minute by the number of employees at Google	eighty times the water usage a minute in the US by the number of employees at Google	80 times the water used by google employees each minute in the US	80 times the water usage in the US each minute by the number of employees at Google	80 times the amount of water used in the United States by the staff of Google in one minute
twice the cost of employing the number of employees on Medicare in an hour	double the cost of an employee on medicare during an hour	cost of an employee	twice the business cost to hire employees on Medicare in California for an hour	twice the cost of paying an hour's wages for all the California workers on Medicare	twice the hourly cost of all employees on Medicare in California	double the hourly cost of all California employees on Medicare	2 times the cost to employ Medicare employees in California for an hour	the cost of employing the 5 million employees of Medicare in California
twice the water killed equal to the number of people killed by gun violence in 2016 in a day	twice the amount of water used daily in the US by a population equal to the number of people killed by gun violence in 2016	twice the water used by gun violence victims in 2016 over a day	twice the amount of water usage in the US by the number of people killed by gun violence in 2016 during a day	2 times the water used bt people killed by guns in 2016 in one day	how much water is used per day while people are killed by gun violence in the US	two times the amount of water usage in the US per day by the number of people killed by gun violence in 2016	twice the amount of water used per day by the number of people killed by gun violence in 2016	twice the water used in the US daily by a popuation equal to the number of people killed by gun violence in 2016
the amount of coffee consumed by the entire world in the time it takes to have a single game	the amount of coffee consumed over the course of a soccer game by the entire world	the amount of coffee consumed during a soccer game by the entire population of the world	the amount of coffee consumed by the population of the world in the duration of a soccer game	the amount of coffee consumption of the population of the world during the time of a soccer game	the amount of coffee consumed in 90 minutes for the global population	the amount of coffee drank by the entire population of the work in the amount of time it takes to play a soccer game	the coffee consumed by the world's population in the time it takes to play a soccer game
1/2 the amount of coffee consumed by the employees in the manufacturing industry in a minute	half the coffee consumed by employees of the mining industry each minute	half the coffee consumed in a minute by the people who work in manufacturing	one half of the amount of coffee consumed by every worker in manufacturing put together in one minute	1/2 of the coffee consumption of the number of employees in the manufacturing industry per minute	half the coffee consumption in a minute times the number of employees in the manufacturing industry	half the coffee consumption each minute by the number of employees in the manufacturing industry
80 times the cost of employing the staff of Microsoft for one hour	80 times the cost of all Microsoft employees during a soccer game	80 times the cost of an employee for all of the employees at Microsoft put together in the time it takes to watch a soccer game	80 times the cost of an employee for every employee at Microsoft during a soccer game	80 times the cost to employ all Microsoft employees for the length of a soccer game	80 times the cost of all Microsoft worker wages for a period equal to a soccer game	eighty times the cost of employing the number of people working at Microsoft for the length of a soccer game
30 times the amount of coffee consumed by an average household in the time it takes to have a day	thirty times the amount of coffee consumed by an average household during a soccer game	30 times the coffee consumption by the average household size in the duration of a soccer game	30 times the total amount of coffee consumed by an average sized household in the amount of time it takes to play a soccer game	30 times the amount of coffee consumed by the number of people in an average household in the time it takes to play a soccer game	thirty times the coffee consumption of the average household during the time taken for a soccer game	30 times the amount of coffee consumed by an average household size over the course of a soccer game
one thirtieth the cost of an employee for the average lifetime of a person	1/30th of the cost of employing the number of people killed during 9/11 over the lifespan of an average dog	1/30th the cost of the people killed during the September 11th attack working for the lifetime of a dog	1/30th the cost of employing the number of people killed during the September 11th attack over the lifetime of a dog	1/30 the cost of employing a population equal to the number of people killed during the September 11th attack over the average lifetime for a dog	1/30th of the wages that would be paid in a dog's lifetime to a population the size of all 9-11 related fatalities	one-thirtieth of the total cost of the employees who died on 9/11 during the average life time of a dog
twice the amount of coffee consumed by the population of New of a work day	double the amount of coffee consumed by the population of New York in a single work day	2 times the amount of coffee consumed by the population of New York in a typical work day	twice the coffee consumed by the population of New York during a workday	twice the coffee consumption over a workday by the population of New York	2 times the coffee consumption of the population of New York in the time taken for a work day	twice the coffee consumption in the time taken for a work day by the population of New York
the distance covered at walking speed in the time taken for a walking speed	the walking speed in the time of a soccer game	how far you would travel if you moved at walking speed for the duration of a soccer game	the distance traveled if walking during a soccer game	how far you travel at walking speed for the duration of a soccer game	the speed you would have to walk over the length of a soccer game	the distance covered at walking speed in the time it takes to play a game of soccer
4 times the cost of employing the staff of Yelp in one hour	4 times the cost to employ everyone at Yelp for an hour	how much it costs Yelp to employ people every four hours	four times the amount it costs to employee everyone at Yelp for an hour	quadruple an hours's wages for all Yelp workers combined	4 times the cost to employ all the workers at Yelp for one hour	cost of all employees at Yelp every four hours	4 times the cost of employing everyone at Yelp for an hour
one half the amount of coffee consumed by the employees in the manufacturing industry in the time taken for a blink	1/2 the volume of coffee consumed in 90 minutes in the manufacturing industry	half the coffee consumption of the number of employees in the manufacturing industry over the time taken for a soccer game	half the coffee consumed by manufacturing employees in the time it takes to play a soccer game	1/2 the coffee consumption by the number of employees in the manufacturing industry during the length of a soccer game	1/2 the amount of coffee consumed by the number of employees in manufacturing during a soccer game	half the amount of coffee drank by all the employees in the manufacturing industry during the time it takes to play a soccer game
30 times the amount of water people killed by gun violence in 2016 in a week	20 times the amount of water usage in the US in a week by the amount of people killed by gun violence in 2016	100 million L is 30 times the weekly water usage in the US by the number of people killed by gun violence in 2016	thirty times the water usage weekly in the US by the number of people killed by gun violence in 2016	30 times the water used weekly by all those killed by guns in 2016	30 times the amount of water used in the United States by the number of people killed by gun violence in 2016 in one week	30 times the water used in the US in one week by the number of people who were killed by gun violence in 2016	30 times the water used and the number of people killed by guns in the US per week combined
10 times the number of dogs in the United States	Ten time the number of dogs in shelter	10 times the number of dogs in shelters	ten times the number of dogs put into shelters per second	10 times the number of dogs that are put in a shelter each second	10 times the number of dogs put in shelters	10 times the number of dogs in shelters
the cost of the number of employees on Medicare in the time taken to blink	1/1 the cost of an employee on Medicare in California during the time taken to blink	the cost the number of employees on Medicare in California in the time taken to blink	the cost of all the employees on Medicare in California for the length of time it takes to blink	the cost of all employees on Medicare in California in the time it takes to blink	the amount the employees on Medicare in California make in an eyeblink	equal to the cost of employees on medicare in California in the time it takes to blink
one half of the birth of the birth of a person in the US	half the number of babies born in the time it takes to watch a football game	half the people born in the us during the length of a football game	half the birth rate in the US during the length of time of a football game	one half the birth rate in the US in the time taken for a football game	half the number of babies born in the US over the time taken for a football game	half of the people born in the United States during a football game
one third of the number of cars in the Indy	1/3th of the number of cars in the Indy 500	one third the number of cars in the Indy 500	1/3rd the number of cars in the Indy 500	1/3 the number of cars in the Indy 500	1/3 the cars in the Indy 500	1/3rd the number of cars in the Indy 500
six times the water industry water industry in an hour	6 times the water usage in the US in an hour for the number of employees in the manufacturing industry	6 times the amount of water used in the United States by every worker in manufacturing put together in one hour	6 times the water used by everyone who works in manufacturing in one hour	6 times the water usage in the US by the number of employees in the manufacturing industry for an hour	Six times the amount of water usage in the US for an hour by the number of employees in the manufacturing industry	six times the amount of water used by all of the employees in the manufacturing industry in an hour
90 times the number of cars in the Indy in terms of new cars	90 times the cost of the cars in the Indy 500	90 times the cost of buying a new car by the amount of cars in the Indy 500	90 times the cost in new cars of all the cars entered in an Indy 500 race	ninty times the cost of a new car times the number of cars in the indy 500	90 times the cost of purchasing the number of cars in the Indy 500	90 times the cost of buying as many new cars are there are cars in the Indy 500
twice the trash generated in the US by the number of employees on Medicare in the time taken for a day	2 times the trash generated by employees on Medicare during one soccer game	twice the weight of garbage produced in the United States by the number of workers who receive Medicare benefits in the time it takes to play a game of soccer	two times the amount of trash generated in the US in the time taken for a soccer game by the number of employees on Medicare	two times the trash generate in the US during the time taken for a soccer game by the number of employees on medicare	twice the amount of trash generated by all the people on Medicare in the time it takes to play a soccer game	2 times the trash generated by Medicare employees in the time it takes to play one soccer game	twice the amount of trash generated in the US in the same amount of a time as a soccer game by employees on Medicare
one tenth the water taken in the US by a person during a basketball game	a tenth of the water an American uses in the time it takes to watch a basketball game	1/10th of the amount of water used in the United States by one person over the course of a basketball game	a tenth of the amount of water used by one person during the time span of a basketball game	1/10 the amount of water usage in the US per person in the time taken for a basketball game	one tenth the water usage in the US per person in the time taken for a soccer game	1/10 the water used by a person in the duration of a basketball game
twice the cost of employing the number of employees in the manufacturing industry for the time taken for lunch	twice the cost for all the employees in the manufacturing industry combined during the time taken for lunch	twice the amount it costs to employ American manufacturing employees  for the time it takes to eat lunch	2 times the cost to employ the employee in the manufacturing industry for the time taken for lunch	2 times the cost of an employee during lunch by the employees in the manufacturing industry	twice the cost of employing every worker in manufacturing put together for the time it takes to have lunch	twice the cost of an employee equivalent to the manufacturing industry's workforce in the span of time it takes to eat lunch
the amount of coffee consumed by the number of employees in the economy in one work day	The amount of coffee consumption by the number of employees in the economy in the time taken for a work day	1/1 times the coffee consumed during work by all the employees combined	the coffee consumption of all employees in the economy during the work day	the coffee consumed by everyone working in the economy in one work day	the coffee consumption by all employees in the economy over a work day	the coffee consumed by all employees in the economy during a work day
one third of the number of dogs in the average lifetime	1/3rd of the amount of dogs in shekters during an average persons lifetime	1/3 the number of dogs that go to shelters in a person's lifetime	1/3rd of the number of dogs in shelters in the average lifetime for a person	a third of the number of dogs placed in shelters in the span of a person's lifetime	one third of the amount of dogs in shelters over the lifetime of an average person	1/3 the number of dogs put in shelters over the average person's lifetime
one thirtieth the cost of the number of employees at Yelp in the lifetime of a tree	one thirtieth the cost of Yelp employees per tree lifetime	1/30th the cost of Yelp employees during the lifetime of a tree	1/30th the cost to employ all those at Yelp over a tree's lifetime	1/30th the cost of an employee for the number of employees at Yelp for the average lifetime for a tree	1/30th of the cost of employing the entire staff of Yelp for the lifespan of an average tree	1/30 the cost of employing the number of employees at Yelp overthe average lifetime for a tree
twice the amount of water the Medicare employees make during the length of a basketball game	the U.S. water usage by the number of employees on Medicare in California in the time taken for 2 basketball games	twice the amount of water used by California employees on Medicare in the time it takes to watch a basketball game	2 times the amount of water used in one hour of all employees on Medicare in California	100 million L is twice the water usage in the US for the number of employees on Medicare in California over the length of a basketball game	twice the water usage in the US by the number of employees on Medicare in California by the time taken for a basketball game	2 times the water used by everyone on Medicare in California during the time it takes to play a basketball game	Two times the amount of water used by all of the employees on Medicare in California during a basketball game
30 times the number of people who die in one day	30 times the number of people born throughout the world in one day	30 times the amount of births in a day	thirty times the global birth rate in a day	30 times the daily global birth rate	thirty times the amount of babies born around the world in a day	30 times the number of people born in the world in a work day
4 times the water usage of the people in poverty in the time taken for lunch	4 times the amount of water consumed over the span of a lunchbreak by a population the size of all people living in poverty	4 times the water used by all the people in poverty over one lunch period	4 times the water usage of people in poverty over a lunch	4 times the US water used during lunch by the poor	4 times the water used by all the people in poverty over one lunch period	4 times the water usage in the US by people in poverty during the time taken for lunch	four times the amount of water used in the US by the number of people in poverty during the time it takes to have lunch
8 times the sea of a 8 college	8 times the length of sea level rise in four years	8 times the amount sea level rises in the time it takes someone to graduate from college	eight times the sea level rise in the time taken to graduate college	8 times the rise of our sea levels during the time taken to graduate from college	8 times the rise in sea level in the time taken to graduate college	8 times the sea level rise in the time it takes to graduate college	8 times the sea level rise during the time taken to graduate college	8 times the amount of sea level rise over the period it takes to graduate college	8 times the sea level rise over the time taken to graduate college	8 times the distance the sea level rises during the time taken to graduate college	eight times the sea level rise in the time taken to graduate school	8 times the increase in the sea level during the time it takes to finish college
one half the amount of water that the combined population of California during a football game	half the water used by everyone in California during a football game	half the water used by all Californians in a time span equal to a football game	1/2 of the amount of water used in California in the time it takes to play a football game	the water usage of the population in California during a football game	1/2 the water used by the population of California in the time it takes to play a football game	one half the water usage of the population of California during a football game	half the amount of water used by the population of California over the course of a football game	half the amount of water used  by the population of California in the duration of a football game
1/20 the cost of a used car	1/20th the cost of a used car in USD	1/20 of the cost of a used car	1/20 of the cost of a used car	1/20th of the cost of a used car	1/20 the cost of a used car	1/20th the cost of a used car	one twentieth the cost of a used car	half the cost of a used car	1/20 cost of a used car
one hundred times the coffee consumption of the average number of employees in a grocery store in the time taken for a blink	100 times the amount of coffee consumed by a typical grocery store staff over a period equal to a soccer game	100 times the coffee consumed by all employees in a grocery store during a soccer game	one hundred coffee consumption by the average number of employees in a grocery store in the time taken for a soccer game	100 times the coffee consumption of the average number of employees in a grocery store over the course of a soccer game	the volume of coffee consumed by the average number of people working in a grocery store during the time it takes to play 100 games of soccer	one hundred times the coffee consumed by the employees of a grocery store during a soccer game	100 times the coffee consumption of the average number of employees in a grocery store during a whole soccer game
one eightieth the trash generated in the US by the number of employees in the construction industry in the time taken for a blink	1/80th the amount of trash generated by all of the employees in the construction industry during a soccer game	1/80th the combined amount of trash generated in the US by all of the employees in the construction industry in the time it takes to play a soccer game	1/80 the trash generated in the US by employees in the construction industry during the time taken for a soccer game,	one eightieth the trash generated by employees in the construction industry during a socceer game	1/80th the amount of trash produced by all US construction employees during a soccer game	1/80th of the trash generated in the US by the construction industry during a soccer game
80 times the water you would earn during a basketball game	80 times the amount of water usage in the US over the time taken for a basketball game	80 times the total amount of water used in the US in the amount of time it takes to play a basketball game	80 times the amount of water used in the United States over the course of a basketball game	80 times the water usage in the US during the time taken for a basketball game	the water usage in the US during eighty basketball games	eighty times the water usage in the US in the time taken for a basketball game
1/8 the amount of coffee consumed by the population of United States in the time it takes to blink	1/8 of the coffee consumed of the population of the United States in the blink of an eye	1/8th the volume of coffee consumed by everyone in the US in the blink of an eye	1/8th of the amount of coffee consumed by the population of the United States in the time it takes to blink	1/8th the coffee consumption of the US population in the time it takes to blink	1/8 of the coffee consumed by every person in the United States in a blink of an eye	1/8 the amount of coffee consumed in the time it takes to blink by the population of the United States	1/8 of the coffee consumed in the blink of an eye by the entire population of the US	1/8th the amount of coffee consumed by everyone in the United States in the time it takes to blink
one ninth the trash generated in the US by the average number of employees in a grocery store in the time taken for a blink	1/9th the amount of trash generated by the average number of employees in a grocery store during a soccer game	1/9th the amount of trash generated by the average number of employees in a grocery store in the time it takes for a soccer game to finish	a ninth of the amount of trash that the combined employees of a typical grocery store would make during the duration of a normal soccer game	1/9 the amount of trash generated in the US in the same amount of time as a soccer game by the average number of employees in a grocery store	1/9th the amount of trash generated in the US by the average number of employees in a grocery store during the time taken for a soccer game	1/9th the amount of trash produced by a typical grocery store staff during a time span equal to a soccer game
one eighth the trash generated in the US by the number of people killed in the US for the length of a football game	1/8 the weight of trash generated in the US over the length of a football game by the number of people killed in 9/11	1/8 the amount of trash generated in the US in the time taken for a football game by a population equal to the number of people killed during the September 11th attack	1/8 the amount of trash generated in the US during a football game by the total number of people killed during the September 11th attack	1/8th of the weight of garbage produced in the United States by the number of people killed during 9/11 during a football game	one eigth the amount of trash generated in the US by the amount of people killed during the September 11th attack during the time it takes for a football game	1/8th the amount of trash generated in the US in 190 minutes per three thousand people
one fortieth the steel used to build a car by the number of cars used to build the Indy	1/40 the weight of the cars in the Indy 500	1/40th of the steel used to build the cars in the Indy 500	1/40th of the steel needed to build the number of cars racing in the Indy 500	1/40 the steel used to build every car in the Indy 500	1/40th the weight of steel used to build the cars in the Indy 500	1/40 the weight of steel used to build all cars in the Indy 500	1/40th the amount of steel used to build the cars in the Indy 500
1/3 the amount of water that the number of employees in the education industry in an hour	1/3 the water used by all employees in the education industry in an hour	1/3 the amount of water used in an hour by all of the employees in the education industry in the US combined	1/3 the amount of water usage in the US by employees in the education industry in an hour	One third the water usage in the U.S. For an hour by the number of employees in the education industry	a third of the water usage by employees in the education industry during a hour	a third the water used by all the employees in the education industry in an hour
